sl_no,project_name,agency,project_code,state,ministry,sector,approval_mm_yyyy,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cr,physical_progress_pct,report_period,cost_overrun_pct,time_overrun_months,planned_duration_months
1051,4L of Kathlighat to Shakral Village from Km 128.835 to Km 146.300 of NH- 5 Shimla Bypass - Pkg I,NHAI,618921,Himachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2022,04/2026,07/2027,1703.48,2648.8,1139.72,63.14,2026-06,55.4935,15.0,49
1052,4L of Shakral Village to Dhalli Section from Km 146.300 to Km 156.560 Shimla Bypass - Pkg II and Shimla connectivity from Km 0.000 to Km 0.725 of NH-5,NHAI,618922,Himachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,04/2022,03/2027,12/2027,1956.26,2880.72,1452.65,63.17,2026-06,47.2565,9.0,59
1053,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,NHAI,619003,Himachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2018,05/2021,11/2026,881.74,1519.53,1345.12,90.11,2026-06,72.3331,66.0,38
1054,4L of HP/Punjab Border - Mo from km. 11.00 to km. 42.00 of Old NH-20 New NH-154 Package-IA,NHAI,619153,Himachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2021,05/2024,10/2026,1002.11,1363.04,819.71,67.66,2026-06,36.017,29.0,38
1084,"4L of Km.165.092 to Km.171.855 North Bound and from Km.166.895 to Km.173.638 South Bound, excl. certain reaches of North Bound and South Bound of Ramban to Banihal Pkg-III of Old NH-1A New NH-44 (NHAI) (618545) (-) (-) Jammu and Kashmir 07/2021 (02/2022) 08/2024 (06/2027) 614.48 (444.76) 306.05 42.8 1085 2L NH-1 from km 8.660 to km 33.775 Sumbal to Wayul to 4L dual carriageway NH standard as part ",MoRTH,618060,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,01/2022,07/2024,07/2026,315.21,315.21,143.35,87.0,2026-06,0.0,24.0,30
1091,Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.,MoRTH,618084,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,02/2020,08/2023,09/2026,153.01,133.67,100.77,95.0,2026-06,-12.6397,37.0,42
1092,Widening and Strengthening/Reconstruction to Two Lane with Paved Shoulder/ Two Lane with paved shoulders with service road from km 0000 to km 42250 excluding design Ch. 03220 to 04200 & 28350 to 29060 of NH-320G in the state of Jharkhand under EPC mode,MoRTH,618123,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2022,08/2025,-,423.18,423.18,5.46,0.01,2026-06,0.0,,41
1093,Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode,MoRTH,618127,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2023,05/2027,05/2027,255.73,255.73,10.06,10.4,2026-06,0.0,0.0,50
1094,Widening and Reconstruction to 4-lane/4-lane with service road including structures from Pokharia More at Km 47.600 Ex. Km 50.230 to Govindpur at km 62.949 Ex. Km 65.325 of Nh-419 in the State of Jharkhand on EPC mode.,MoRTH,618242,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,05/2022,01/2026,01/2027,300.46,300.46,86.07,52.14,2026-06,0.0,12.0,44
1095,Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 426230 to Km 430500 Length 4.27 Km at Nirsa in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,NHAI,618534,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,01/2025,08/2028,08/2028,470.75,470.75,0.04,0.0,2026-06,0.0,0.0,43
1096,Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 406100 to Km 411150 Length 5.05 Km at Gobindpur area in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,NHAI,618535,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,01/2025,03/2028,03/2028,687.77,442.52,66.59,16.1,2026-06,-35.6587,0.0,38
1097,4 Lane of CG/JH Border-Gumla from km 0.000 to km 32.370 of NH-43 in the State of Jhrkhand,NHAI,618641,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,08/2024,02/2028,02/2028,1325.8,1325.8,292.91,5.73,2026-06,0.0,0.0,42
1098,4L of Palma to Gumla from km. 26.00 to km. 89.170 of NH-23,NHAI,618642,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2020,03/2024,07/2026,1882.93,1895.75,1369.19,99.89,2026-06,0.6809,28.0,48
1099,4L of Ormanjhi-Gola section from Km 81.450 to Km 53.600 of NH- 320BPKG-II,NHAI,618644,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,02/2022,06/2025,12/2026,1214.93,1462.19,993.58,86.57,2026-06,20.3518,18.0,40
1100,4L of Gola-BokaroJaina More section from Km 53.600 to Km 21.110 of NH-320PKG-1,NHAI,618645,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,02/2022,06/2025,10/2026,1007.97,1030.64,609.9,78.1,2026-06,2.2491,16.0,40
1101,6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Donoreshan village to junction with NH-20 in Bongabar village from km 288.600 to km 325.500 Pkg -11,NHAI,618729,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2023,07/2028,-,1856.12,1856.12,261.76,0.0,2026-06,0.0,,64
1102,6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Deoria village to Donoreshan village from km 253.000 to km 288.600 Pkg -10,NHAI,618730,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2023,05/2028,05/2028,1546.27,1546.27,82.65,3.96,2026-06,0.0,0.0,62
1103,6L Greenfield Varanasi- Ranchi- Kolkata Highway from junction with NH-20 in Bongabar village to junction with NH-30 in Lepo village from km 325.500 to km 358.500 Pkg -12,NHAI,618733,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2023,07/2028,-,1525.52,1525.52,218.27,0.0,2026-06,0.0,,64
1104,4L Elevated corridor of Kalimandir-Dimna Chowk-Baliguma Jamshedpur Section of NH-33 New NH-18 from km 241940 to km 251961 Length 10.021 km,NHAI,618736,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2024,03/2027,03/2027,936.26,832.2,310.35,46.79,2026-06,-11.1144,0.0,36
1105,Grade separated Interchanges at Km. 113.730 junction with Ranchi Hazaribagh Road & Km. 139.225 junction with Ranchi Jamshedpur road on 4L Ranchi Bypass of NH-33,NHAI,618737,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,01/2025,12/2027,12/2027,303.53,5.58,4.98,0.0,2026-06,-98.1616,0.0,35
1106,4L from Km 147.450 Bhogu to Km 196.870 Sankha on NH-75 Sec-III,NHAI,618830,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,10/2022,11/2025,03/2027,1517.87,1652.09,1103.0,76.95,2026-06,8.8427,16.0,37
1107,4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,NHAI,618831,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2023,10/2026,03/2027,1436.8,1301.54,419.61,27.9,2026-06,-9.414,5.0,43
1108,4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,NHAI,618832,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,02/2024,01/2028,01/2028,1274.82,1274.82,231.62,9.66,2026-06,0.0,0.0,47
1109,Barhi-Koderma Section of NH31 km 0.00 - km 27.5,NHAI,618863,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,02/2017,08/2024,07/2026,662.44,826.59,824.95,98.5,2026-06,24.7796,23.0,90
1110,4L of NH-80 from km 215.00 to km 260.00 Mirza Chauki to Farkka Pkg-I,NHAI,618947,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2018,07/2023,10/2026,1504.8,1508.21,1029.73,91.83,2026-06,0.2266,39.0,64
1111,4L of Basukinath- Deoghar Section of NH-114A,NHAI,618949,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,09/2022,12/2025,08/2026,1444.94,1553.76,723.48,90.02,2026-06,7.5311,8.0,39
1112,Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,NHAI,618950,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,11/2024,01/2028,01/2028,1565.47,1565.47,55.24,9.0,2026-06,0.0,0.0,38
1113,Construction of bypass around Chatra Town on NH-22 old NH-99 in the state of Jharkhand under EPC Mode,MoRTH,619005,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,03/2023,01/2028,01/2026,235.42,199.2,0.86,12.0,2026-06,-15.3853,-24.0,58
1114,"Construction of Elevated corridor from Km. 135.650 to 136.300 on 63, from Km. 249 to Km. 250.050 on old NH-4 and from Km. 192.910 to Km. 193.350 on NH-218 from decongestion of traffic in Ranichennamma circle in Hubli city in the state of Karnataka on EPC basis",MoRTH,617935,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,08/2020,06/2024,11/2026,298.0,349.49,232.09,65.0,2026-06,17.2785,29.0,46
1115,Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated 22.11.2022,MoRTH,617950,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,11/2022,01/2027,01/2027,204.42,204.42,0.0,20.0,2026-06,0.0,0.0,50
1116,Construction of Chintamani Bypass from Design Ch.0000 Existing Ch.428880 to Design Ch.15400 Existing Ch.444010 on NH-69 in the State of Karnataka in EPC Mode under NHO Annual Plan 2022-23. NH-69-KNT-2022-23-989 dated 24.03.2023,MoRTH,617951,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,07/2027,07/2027,314.55,314.55,4.03,10.0,2026-06,0.0,0.0,52
1117,Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,617955,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2022,03/2025,12/2026,718.52,718.52,308.99,84.0,2026-06,0.0,21.0,36
1118,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2019,11/2021,04/2027,157.32,187.61,103.33,69.0,2026-06,19.2538,65.0,32
1119,Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH- 169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023,MoRTH,617997,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,02/2028,02/2028,538.71,538.71,14.63,6.0,2026-06,0.0,0.0,59
1120,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2022,02/2025,11/2026,177.94,177.94,115.6,83.0,2026-06,0.0,21.0,35
1121,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,05/2026,04/2027,471.62,471.62,91.74,69.54,2026-06,0.0,11.0,38
1122,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2022,02/2024,06/2026,170.34,147.39,106.96,100.0,2026-06,-13.4731,28.0,23
1123,Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023,MoRTH,618027,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,03/2026,12/2026,445.62,445.62,0.0,90.0,2026-06,0.0,9.0,37
1124,"Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023",MoRTH,618028,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,06/2027,06/2027,333.96,333.96,63.57,36.0,2026-06,0.0,0.0,52
1125,Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930,MoRTH,618029,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2022,01/2025,03/2027,350.69,312.06,199.09,81.62,2026-06,-11.0154,26.0,36
1126,Widening to 2 lane with paved shoulder from Km. 103.225 Pattadakal to Km. 133.00 Shirur cross of NH-367 in the state of Karnataka on EPC Mode.Job No. NH-367-KNT- 2021-22-934,MoRTH,618030,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2022,05/2024,12/2026,264.14,264.14,3.78,0.0,2026-06,0.0,31.0,27
1127,Balance work of Construction of Two/Four lane with paved shoulder from Km 422.000 to 523.600 Chitradurga to Shivamogga of NH-13 in the state of Kanataka on EPC mode.,MoRTH,618031,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2021,12/2025,08/2026,516.96,516.96,121.75,98.0,2026-06,0.0,8.0,59
1128,"Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie., Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch. 534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023",MoRTH,618086,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,01/2027,01/2027,617.28,617.28,7.59,48.5,2026-06,0.0,0.0,46
1129,Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951,MoRTH,618087,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2022,07/2024,08/2026,255.88,255.88,182.8,96.0,2026-06,0.0,25.0,28
1130,Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi- Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH- 166E-KNT-2022-23-974,MoRTH,618095,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,03/2026,03/2027,196.05,196.05,0.0,71.0,2026-06,0.0,12.0,37
1131,Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A- KNT-2021-22-927,MoRTH,618109,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2022,12/2024,11/2026,355.72,355.72,215.43,88.33,2026-06,0.0,23.0,35
1132,Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022- 23,MoRTH,618147,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2023,09/2025,08/2026,166.58,166.58,42.48,65.0,2026-06,0.0,11.0,32
1133,Widening to 4LPS of NH-548B from Km 80.000 Near Murgundi to Km 140.200 Near Chikkodi excluding length from Km 118.450 to Km 128.450 in the State of Karnataka under NH O on EPC Mode under Annual Plan 2022-23 - Package 1 NH-548B-KNT- 2022-23-979 dated 09.03.2023,MoRTH,618148,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,04/2028,04/2028,785.79,785.79,6.15,0.0,2026-06,0.0,0.0,61
1134,Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage of NH-548B Murrum-Maharashtra Border in the State of Karnataka,MoRTH,618149,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,01/2027,01/2027,957.09,957.09,288.15,60.21,2026-06,0.0,0.0,47
1135,Widening to 4LPS of NH-548B from Km 118.450 Near Shirguppi to Km 128.450 Near Ankali in the State of Karnataka under NH O on EPC Mode Under Annual Plan 2022- 23 NH-548B-KNT-2022-23-982,MoRTH,618151,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,05/2029,-,1084.29,1084.29,0.0,0.0,2026-06,0.0,,74
1136,Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of Karnataka NH-766C-KNT-2022-23 dated 14.10.2022,MoRTH,618184,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2023,02/2026,12/2027,313.56,313.56,151.04,65.0,2026-06,0.0,22.0,37
1137,Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022,MoRTH,618185,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,12/2022,08/2027,08/2027,394.95,394.95,0.0,12.0,2026-06,0.0,0.0,56
1138,Widening to two lane with paved shoulder of NH-73New spur road Ujire - Dharmasthala - Periyashanthi in the State of Karnataka under NHO on HAM Mode Job No. NH-73Spur-KNT-2023-24-996,MoRTH,618189,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2024,11/2027,11/2027,613.65,613.65,0.0,23.16,2026-06,0.0,0.0,46
1139,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,NHAI,618517,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,12/2021,09/2025,05/2027,1135.39,763.36,744.25,83.19,2026-06,-32.7667,20.0,45
1140,Davanagere - Haveri of NH-48 Old NH-4 from km. 260.00 to km. 338.923,NHAI,618518,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2017,07/2020,09/2026,1454.67,1805.84,1273.49,98.87,2026-06,24.1409,74.0,42
1141,4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],NHAI,618520,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,08/2020,04/2023,08/2026,1438.74,1786.57,1228.99,99.2,2026-06,24.176,40.0,32
1142,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,NHAI,618630,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2022,06/2025,11/2026,2355.56,1923.3,964.75,79.87,2026-06,-18.3506,17.0,40
1143,4 Lane with PS from Des. Ch 228.500 to Des. Ch. 273.400 of Belgaum-Hungund- Raichur Section of NH 748 A Package-6,NHAI,618649,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,11/2026,06/2027,1246.15,1012.78,381.27,53.8,2026-06,-18.7273,7.0,44
1144,4 Lane with PS from Des. Ch 89.900 to Des. Ch. 136.100 of Belgaum-Hungund- Raichur Section of NH-748A Package-3,NHAI,618650,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2024,04/2027,02/2028,1363.9,1219.62,302.3,22.5,2026-06,-10.5785,10.0,39
1145,4 Lane with PS from Des. Ch 43.800 to Des. Ch. 89.900 of Belgaum-Hungund- Raichur Section of NH-748A Package-2,NHAI,618651,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2024,02/2027,07/2027,1427.88,1293.94,594.55,48.8,2026-06,-9.3803,5.0,36
1146,4LPS Access Controlled Highway of Bellary Bypass Balance work from Ch. 254750 to Ch. 266837 and construction of 4LPS from Ch. 277.690 to Ch. 278.690 at D. Hirehal Village Balance work of NH 150A of Bellary Byrapura Section,NHAI,618697,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2024,07/2026,10/2027,626.01,284.05,112.21,38.08,2026-06,-54.6253,15.0,29
1147,4L of Addahole Near Gundya to Bantwal Cross section Pkg-02 from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 Old NH-48,NHAI,618702,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,12/2020,11/2023,12/2026,1660.19,1318.24,1451.9,94.21,2026-06,-20.597,37.0,35
1148,Bangalore-Nidagatta Pkg. I,NHAI,618706,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2018,11/2021,07/2026,3496.01,4087.42,4315.22,99.19,2026-06,16.9167,56.0,45
1149,Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru Access control with close toll from Km.17.300 to Km.136.300 of NH-275,NHAI,618707,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,11/2024,01/2028,05/2028,738.37,738.37,17.91,9.67,2026-06,0.0,4.0,38
1150,4L of Left-Over Works of Hospet-Bellary -Karnataka/AP border from Km.280.080 Dec.Ch. to Km.375450Des.Ch. of NH-63 New-67,NHAI,618709,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,05/2025,04/2028,1340.15,992.6,922.07,91.67,2026-06,-25.9337,35.0,26
1151,Belakeri Port to Kumta - Sirsi road from km 0.00 - km 4.265 of Belekeri Port Road Link Rd. and km 4.965 - km 60.00 of SH-69,NHAI,618799,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2018,12/2022,08/2026,456.79,456.79,471.29,94.98,2026-06,0.0,44.0,57
1152,4L PS from near Hemmige Village Periyapatna - Hassan Road Jn. to near Hunsur - KR Nagar Jn section from Km. 144.900 to Km. 169.000 of NH-275 Pkg. III,NHAI,618870,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,04/2027,01/2028,883.62,1726.65,437.77,24.27,2026-06,95.4064,9.0,50
1153,4L PS from Near Guddehosur to Start of Kushalnagara Bypass to near Hemmige Village Periyapatna - Hassan Road Jn from Km. 122.200 to Km. 144.900 of NH-275 Pkg. II,NHAI,618871,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,12/2027,04/2028,909.86,896.42,313.21,13.61,2026-06,-1.4772,4.0,58
1154,4L PS from near Hunsur - KR Nagar Junction to near Yalachahalli village KR Nagara - Yelawala Road Junction fcrom Km 169.000 to Km 195.550 of NH-275 Pkg-IV,NHAI,618872,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2023,04/2027,03/2028,1062.76,952.03,272.54,18.13,2026-06,-10.4191,11.0,50
1155,4L PS from near Yalachahalli village KR Nagara - Yelawala Road junction to Srirangapatna Bypass Near Paschima Vahini from km 195.550 to Km 214.535 of NH- 275 Pkg-V,NHAI,618873,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2023,04/2027,03/2028,1272.71,1203.2,462.59,16.45,2026-06,-5.4616,11.0,51
1156,4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH-206 Tumkur- Shivamogga Pkg-IV,NHAI,618887,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,01/2019,10/2023,03/2027,2082.98,2545.11,1621.81,83.78,2026-06,22.186,41.0,57
1157,4L of Sannur to Bikarnakatte section from Km 691.350 to Km 736.362 of NH-169 Karkala - Mangalore Package-III,NHAI,618896,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2021,10/2024,04/2027,1386.41,2038.71,1213.06,76.1,2026-06,47.0496,30.0,43
1158,4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of Bangalore-Chennai Expressway Phase-I Package-II,NHAI,619065,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,12/2020,09/2023,09/2026,1745.0,1729.63,1103.13,99.8,2026-06,-0.8808,36.0,33
1159,Tumkur - Nelamangala 6L,NHAI,619071,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2021,08/2025,03/2027,2032.15,1664.2,1069.89,61.16,2026-06,-18.1064,19.0,53
1160,Bangalore/TN border to Hoskote,NHAI,619072,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2022,02/2025,11/2026,1181.68,1297.76,1150.16,94.89,2026-06,9.8233,21.0,36
1161,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],NHAI,619073,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2020,02/2023,08/2026,1317.74,1846.52,1304.65,99.2,2026-06,40.1278,42.0,36
1162,Goa / Karnataka Km.93.700 to Kundapur Km.283.30,NHAI,619096,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,07/2012,08/2016,07/2026,1644.92,1990.99,1848.87,97.94,2026-06,21.0387,119.0,49
1163,4 Lane with PS from Des. Ch 182.300 to Des. Ch. 228.500 of Belgaum-Hungund- Raichur Section of NH 748 A Package-5,NHAI,619106,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,03/2023,11/2026,08/2027,1141.88,868.65,254.24,37.9,2026-06,-23.9281,9.0,44
1164,4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund- Raichur Section of NH-748A Package-4,NHAI,619107,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2024,09/2027,04/2028,1311.41,1123.35,227.3,13.18,2026-06,-14.3403,7.0,43
1165,4 Lane with PS from Des. Ch 0.000 to Des. Ch. 43.800 of Belgaum-Hungund-Raichur Section of NH-748A Package-1,NHAI,619108,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2024,06/2027,10/2027,1452.43,1256.55,490.31,38.45,2026-06,-13.4864,4.0,40
1166,Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,NHAI,619117,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,12/2015,03/2019,07/2026,1021.57,1091.4,1068.77,97.8,2026-06,6.8356,88.0,39
1167,Nidagatta-Mysore Pkg II,NHAI,619120,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,02/2018,06/2022,07/2026,2919.8,4113.89,3713.89,99.19,2026-06,40.8963,49.0,52
1168,Yekkambi-Haveri,NHAI,619138,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,09/2021,03/2024,01/2028,309.9,309.9,94.8,24.7,2026-06,0.0,46.0,30
1169,BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,NHAI,619150,Karnataka,Ministry of Road Transport & Highways,Roads & Highways,04/2016,08/2019,07/2026,2082.69,2859.93,2242.71,99.7,2026-06,37.319,83.0,40
